קוד בנק,שם בנק,קוד סניף,שם סניף,כתובת סניף,יישוב,מיקוד,ת.ד,טלפון,פקס,טלפון חינם,גישה לנכים,יום סגור,סיווג הסניף,תאריך פתיחה,תאריך סגירה,בנק ממזג,סניף ממזג,קואורדינטת X,קואורדינטת Y
4,בנק יהב לעובדי המדינה בע"מ,7,מלחה ירושלים,אגודת הספורט בית"ר 1 קניון עזריאלי מלחה ירושלים,ירושלים,9543501,36333,02-5009911,,,כן,יום ש,מיוחד,01/09/2011,,,,31.751601,35.187316
4,בנק יהב לעובדי המדינה בע"מ,44,הלל יפה חדרה,דרך השלום 1 בית החולים הלל יפה,חדרה,9757023,36333,02-5009911,,,כן,יום ו,מיוחד,25/09/2011,,,,32.072556,34.795031
4,בנק יהב לעובדי המדינה בע"מ,110,מרכז תפעול עורפי*-מרחב צפון,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,01/04/2021,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,111,מרכז תפעול עורפי*-מרחב מרכז,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,01/04/2021,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,112,מרכז תפעול עורפי-מרחב ירושלים,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,01/04/2021,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,113,מרכז תפעול עורפי  מרחב דרום,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,01/04/2021,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,114,אשדוד,הבנים 1 מרכז מסחרי,אשדוד,7744401,36333,02-5009911,,,כן,יום א,רגיל,01/08/2007,,,,31.794833,34.640027
4,בנק יהב לעובדי המדינה בע"מ,115,קריית הממשלה ת"א - מגדל היובל,מנחם בגין 125 מגדל היובל,תל אביב -יפו,6701201,36333,02-5009911,,,כן,יום א,מיוחד,12/11/2007,,,,32.072958,34.789526
4,בנק יהב לעובדי המדינה בע"מ,116,מודיעין,דם המכבים 28 מרכז המער,מודיעין-מכבים-רעות*,7178604,36333,02-5009911,,,כן,יום א,רגיל,04/09/2008,,,,31.906103,35.005832
4,בנק יהב לעובדי המדינה בע"מ,117,מרכז הנגב,דרך מצדה 6 מרכז הנגב,באר שבע,8435706,36333,02-5009911,,,כן,יום ו,רגיל,21/01/2008,,,,31.259117,34.795597
4,בנק יהב לעובדי המדינה בע"מ,118,כפר סבא,ויצמן 50 ,כפר סבא,4424720,36333,02-5009911,,,כן,יום א,רגיל,14/04/2008,,,,32.176671,34.901749
4,בנק יהב לעובדי המדינה בע"מ,119,פתח תקווה,רבין 1 מגדלי גלובל טאוארס,פתח תקווה,4922003,36333,02-5009911,,,כן,יום א,רגיל,16/06/2008,,,,32.090665,34.861661
4,בנק יהב לעובדי המדינה בע"מ,120,ראשי ירושלים,הלל 14 ,ירושלים,9458114,36333,02-5009911,,,כן,יום א,רגיל,01/02/1949,,,,31.78012,35.21738
4,בנק יהב לעובדי המדינה בע"מ,121,קדם,שד' משה דיין 166 שכונת פסגת זאב,ירושלים,9781609,36333,02-5009911,,,כן,יום א,רגיל,20/10/1983,,,,31.820497,35.239889
4,בנק יהב לעובדי המדינה בע"מ,123,בית יהב,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,רגיל,09/08/1998,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,124,באר שבע,שדרות שז"ר 33 ,באר שבע,8440803,36333,02-5009911,,,כן,יום א,רגיל,15/01/1985,,,,31.24589,34.804664
4,בנק יהב לעובדי המדינה בע"מ,125,אשקלון,שד' בן גוריון 13 ,אשקלון,7828110,36333,02-5009911,,,כן,יום א,רגיל,02/04/2000,,,,31.666138,34.558229
4,בנק יהב לעובדי המדינה בע"מ,126,מוקד טלפוני יהב ישיר,ירמיהו 80 ירמיהו 80,ירושלים,9446759,36333,02-5009911,,,כן,יום ו,יחידת ביצוע,01/12/1985,,,,31.790769,35.200432
4,בנק יהב לעובדי המדינה בע"מ,128,קריית גת,כיכר פ"ז 3 קניון לב העיר,קריית גת,8201085,36333,02-5016813,,,כן,יום ו,מיוחד,08/06/2017,,,,31.608672,34.773054
4,בנק יהב לעובדי המדינה בע"מ,129,כנפי נשרים,כנפי נשרים 62 ,ירושלים,9546427,36333,02-5009911,,,כן,יום ו,רגיל,18/05/2008,,,,31.787889,35.183037
4,בנק יהב לעובדי המדינה בע"מ,130,רוטשילד,שארית ישראל 35 ,תל אביב -יפו,6816521,36333,02-5009911,,,כן,יום ו,רגיל,01/02/1949,,,,32.052083,34.76403
4,בנק יהב לעובדי המדינה בע"מ,131,הקריה  תל אביב,הארבעה 19 ,תל אביב -יפו,6473919,36333,02-5009911,,,כן,יום א,רגיל,12/10/1983,,,,32.070487,34.78665
4,בנק יהב לעובדי המדינה בע"מ,132,תל השומר,ביה"ח שיבא 9 ביתן 9 ביהח תל השומר,רמת גן,5262160,36333,02-5009911,,,כן,יום ו,רגיל,02/04/2000,,,,32.045907,34.84677
4,בנק יהב לעובדי המדינה בע"מ,133,נתניה,הרצל 60 קניון השרון,נתניה,4239226,36333,02-5009911,,,כן,יום א,רגיל,01/07/1999,,,,32.328814,34.856911
4,בנק יהב לעובדי המדינה בע"מ,134,נתב"ג,לוד נתב"ג 1 טרמינל 1 לוד,אזור רמלה של"ש,7010000,36333,02-5009911,,,כן,יום ו,רגיל,01/10/2001,,,,31.994437,34.896552
